date,rating,review_text,photo_urls
2025-04-12 23:20:44,4.9,Overall Rating,[]
2025-04-12 23:20:44,,Additional Photo,['AeeoHcKIiW9ZyTl5OsrzR90KhBzX3-RI0s9JMDEO2g5PjbEUrFeditIK7iuedPeRkI8yP1XXSavNJuFX3eYzNKnlOzpyHWgMAIIavazHl4ggQAYUnMt1iFrphVlITOFidfO0P3W-9k85cqbeBprY2WMGJ1Fqgp7wbzDU2_2Y2fvSaybO7LX1fWUW9UYQ4uk1AyP_cb6M5hkczHnogyrn9GNH3UQx_fz2SnVYsi_yujFPBUug5gom777WQ9H5rr9mHziRNFKJlw-R-Pt7X9eKRnKKlrrMAmCBBN_6LPgjPdJU4w7-tSTFTbm1cTL7fvi6Gm0GVKfETBainewe3Kpbxg6orQHLa2TszSZ5t6gN4WpdhdNSLoan-R8tFR6P_b6trAKkYoMm8b1FEYz5-HMDH6UaHpoOUeFtE_tfeZdazuGar3RZzrdcrFeyQ7fazch7GOHd8TDhHj4hqdz_B_3OCGfeWuL4kIahkKGCnGqi20QBjSKaqHllw5Y8X_sxTBAIPemcia-QF8rr5zKbj8DQB5sZmHIpt2sz3jXWwtCFrhe1X0K6sQ8um8O64ABaobHA7ayu6ZA4_i0c6xPo8kfe7StaSX5W5gt5I7G72SvBoOrPuPZJPuRIP1-r9v_I4vD-QQB9tAg2XQ']
2025-04-12 23:20:44,,Additional Photo,['AeeoHcLbATTSugnaVY1EM-0sJwG71sIYhZbLoUiGY1c2BdgjCUpXE5Q1l-bxNZO95qWF4uhSNkwNAfBQrOhOBLWTXlei-IV2cSeIke9py1pOUNqSfrG5WWGEcySXU2Hx-EyRzLlIizNj2sjBY_KOykv2nWoAldE77zn5tgsBtfX9taoobP9CmG3NbiiS4UkqsX77ofjflaQPZrm1W0F7ImZXld7YVOg0UH59cjjYWvFreFv8aJt4cFeu4L2Faq4NEALVD4JS6i32bnOJV1lxW66_x-YTxby7iDrBFeVtb3fpJNsvCxT7A3zIbdEFkCFS6Sh9Abq-lfCNqYjMLZB65WZCG5ciqpzQ0YoCt4AL5nZ0rfpDMXCDu6Vq-hM6PyNMkFzQsrIdZAGXFMH2QSzc7TC9dTcOG1ZP1jXuC3pH5Iv9b9BxZ4mCOtWwFt78W2fRIdWqDh4JJtct-NslKpP8mViEYwQPI8LJ_faYft_MqgzkTaTxZQCOa75h_8qG9sz7kXMxMfeCngd_j18jyn2yL9XrYmyh7AoJLXIDDMiYKCMQy2Q7VjE5pFqZNgx4q3H6m0vQrAbl0dWnMBBF2UWF1WYUrh7J2ILNNTbD5JPD8UZx7JmvJx1OjCsUyFwOPRqsu8-sTpTVBg']
2025-04-12 23:20:44,,Additional Photo,['AeeoHcJAFLb03reljxWvGtJvt7s_A6qsMQnYtXktzedxIMCkfzVHY7oPyjaWW7cuPop-FxYE2Vu_gBYGYGgHTKaY7HrpMCnHpPojBhtqRyhmgcCdWT5tcQRzGFMveq1g8gvwm8DXN-uWmT3MIdcccVnaY38xdCchCfvHLXLYzPS0tkCcQLZ8m85gbnrNnlmpmWz6VsCvQTDfGmZ6AvQNbBWiEHbr2DlPPvyJPHobTswLt-FEGv1d7UXtNIVi3fJJwvQq_8HEbq2jAu4wvJXavWTYvzrjTaZCWAt8UUFBh6ZwYJuWg28DuA7Gv6ya09rdm7D6nDXARS1LwgjTrQc7mW9sthbde19Jl3Nud8h62kVzCGvqn-VvmQjfaVvVgBrRxqT3IxV0bzUSwORsSHq4ab3e-loJMY1OkfYSKv9MFmP0757izMFZquZF8xk6AFiLAQWV0Yck4-Sn1YhDXDG6VIiom-spHaSH9Ggua89pVG_SbYRfrpEACqhG25uDDUH-f3EY7FYjnS65mVHvV5tkfkXJHTMBwvzDj2bBw8lTadgUxD85wkEPHtsOWyhisv9Nz40RQN6Gv4oKFPrtkj2S5LVNSdv8wnAlHm4EGsDDlLNDl44A-QltWN6uk3Cm2w0fgo28G8LTlA']
2025-04-12 23:20:44,,Additional Photo,['AeeoHcLSiGKjS5Rkk7DwaVVVfkUlsCSTPCxbK7vYOwdHsQCaoedwFBOiEzAG8j9-to6ou7feJ4hbN_o81RcB3ULwb4pZsgEKl98xZHdkEIFuEYb592BZPKZxjE9phyCcOXMEaGFVvbtqRWZDyxOV_VOMeGVmoYvyAfTVEYEqtTmL69NH1M8giG9j49gzhpVuF6K38Q2W6gwgenTo2nbGVxQiRvmyNO3BxYdJOEkqIXnuvTg2gsCaI25d0kg7hmE74FMkeYGkyZgBQEPZ4a4ALuE-ztKazHItEqS-AtHbBXitAUMUs0UjB_FK-ozNFEvqQfuCt6mC-BvOLQCUyCCD31MB3FRlds6tqsZVe-5p0RvF7wufI0bNdG5Di-vCcfWu-LKTFDDLM_p19dyYTd1YBb2hb_v-sbjmOjXnD0LlubV8HD4LnssGMNsosvjomA5xvLB79D8TnVsA-37nakFoM2T1cGxY0YOuep7pxpQNoWyYP8s0oaQ4d2Vafzi9ue8i0tewU9r6Dc7y6-XjXpToz1qIVfJSzWJ_I8lAme_OTLmFl_qgSSmuAHwId9OburiqyzGP5Jn3bogpI6mw02Z_9_CVPm8T84GoEqewBoeSERmMzWsGlwTVKnDAaWYcf5z11PCg70TcIg']
2025-04-12 23:20:44,,Additional Photo,['AeeoHcJCVWZvWCEPDfBlmk2TjIBQ0zxFhd0H4HySjNN-OCP2Svz9lMrc13ZHJ96xikzHIsMsAFltEyss8gN-if2gPJSW_5x5KCjTDcfMzhc8okQpfY3GcN2CiEGSWbUZDvqjoasySHqlqY1EvYdxP_6OkzLxfjPAavQJuSZPIu6KD1KsSQ709MZsV97C8gNlcT3U3YY1lkxOEe1p57zZ0xH7J3g-0FcDdLvEA8Q1JRYNRLShGtbfT0gDCezOkkYU3Na5w1K9f0ryWmJp77h2B5gj2DPrl8udGsr6-SS-u2B9Pk-96wMwDq0KIuVfDaEOODi8dyryKYFL-26y7xmNxxERuLIpCPXKWaphKx7juKtAP7egkuqIbrJJZbaC-TqWfDXyEOhsz-jS6cnBraAnfNXTmQE2GEW7rBPaN2aWnRsgD8__30qYu76awV-y9u9aJ7pgmA1t8oULKXMUsbCF9wZ3UTBLPmpoTQF4HhS3tnWxxQ_hjnPZKubfssSlvAenF2Ychbwhq2YPs1bYWOCc_2--4mcs44bfzR7BjBospG4wEXPXUdM67qvZ39UlIezaDn7EfTqXqtMPVGzBuMffoC0lLg5nxCIW2fxvYWAEEmg7zBfCENGCtS4_9m4B3RDQ3mELl4__KA']
2025-04-12 23:20:44,,Additional Photo,['AeeoHcIyTfS8iojA5iurOjRlcfN7UFPmv1MMFXw0fW2NdHiSBSLqmvlcBUT00xLPo3I0OWYmFgaSejW_7xnHrhKF38T0e7b0EuSTlFnbBfeBFRTo89_YpM2CYGreJn8w_kJ9NlTImg2K7fQhddfIgP-pkXKHmme2IntFwwaQYYz1uChHu06vBwHYqzqaIEl2BMn9ROQwKdyOf2C054kzFbO7QnTR5ggQQRxA5wf-hSvFz3RNrlGAj6lkne-isbE6OdVcbvIgT_9QykWbwSdmrPo_4t0xgbQio--1kAy9ZnkmKaDeGPGpC7PA-OoyjgYTonDsZiovCsO432CnHfLPpS9SS6Ams3v5qUetOy2dEx6-Qu3spqUM7JmTn5beVuwF_ZKEHAHKrAT3eeKfRr6wAGuZkn4oQ9R7MWBAzLifDTIT1vh_x543lJz977FaIGHy1E1GBpaKXsXxkjS1AxGOln9jKnrWE5mEV6aBGVNNI46UhOvBLdF5LpCknMi7G7Z_0e4-HO-pkx9_Ece9rqBCkrbemUL46ZF08O_1w7iJxoQ0iLY-ecY9-xLeUbzXGtGeJwRsVSYiogjUblJ3hNzb7HQmjv6R7dp-3urP-vdNPU_oH_So4PnlWAKvIMutHdCUd8d7Sk2DOW-c']
2025-04-12 23:20:44,,Additional Photo,['AeeoHcKY1EfVmnOv7yI0zkEq08ePxY8nByoB0qoreSL9RTNdavYqKsE4PdM7_aqxIYhCxl8h2gs35IVenfCVrVFeuoVzhYIZwt0Zmks-_gJcxe7pFmZbY4zTmHK0H2pwY-rKPA42HZreHFNr6EN3kElkKC-fKiVcbaXItpMbTVPWQ98v_7G0IqxkWw_nqsxuIq5vNyQOUKYzyKfwlYwjuD3d0EkfoF4dhT8gO-XqF_F7ORPWsQrogIslEt55W3Xr7MtO9sdI0NuceD-SicxypMPXOIBPofC_OaTJDPigTR5InYan7hgwHZWXczSbNqKBPQqtZ-6V_ExkeOPkoS3waQjX8yVTHjYLQlEED4qc4QBqFYZvDtaRduLrYtdRmjbwii_1luQN8z4jW2sc60SHn4PaCbB-KXxbJGp4OHSkPqpWBQeytU7i6FLRwwbzrXwVD2WfdKDdSLqIQzfAHBVTd27e_0nZjqX9m5zzWhDKu8WTelFjadrD2TcmawyZQDDtGtfanAgdHa25jOUQ_QXevnessdg06oE0vHmu-IMpcDCI1wg3YrrAOlqyQpxgSc0ekhUTCspcuNlNPCQyGzrgMMNEa9u6NgdVXNDbhV42RG6g7YzjykWKrUa3xFBYMUT9zETXftZtvw']
2025-04-12 23:20:44,,Additional Photo,['AeeoHcL-XXT0UqPjWl4iqag4IY9qldqYe7RvAKDRdkAOpp1kTcrx9WkbuG7ohpIhVx43B96nuw3x825jYE_R-42Bj3WP9TabYOZUWUiNuJmHaCZRkxmxFLVdujNAG9jf8JgnVX6Xo53c-mwcnoylXF96gCHkttMF3_HDMTQ8R6VIFCiEroKV4mK-0Kcuud-AayqmmTDegt_J4vhs1dkJRXhDRaa6ineOKr_ffSq7y1DJ2_sBt8uAuDIUFCt9inADddSWd2fSPRB86pwloSc1_qm3o6Frex1k3MHu-1jiaT3C0f4UqRQC7YsIHxcJik4MoumHukqBZ2mLQ9YhT-eU1fhD4xnzn9bVKplcgRygW0aihWbQoWmcNHhDprfRQVr6jm7kFg9ulvyt_KceMhAhsEAQq3zOL6GHRTMoN-oW6Q08PxeasARkUDLB7TU1UCdN2fw9l9dSuadvtxtOCxj4ghthh1Z0KcAuydhrDHx-Y3UiYc2B_WRNYUDmAjXAKNd-jY4BTk14_xebyf-rnq4dCiQmDPloZkUJLNkFDcZGft9D9aZwGlPlx-i9HsOzEpardDzY_IywPSeccEsJ3iijJDr_JmjPrJoFK1EOZ1hEyk2-pNq4NQ0uv1QAkBKUzJlEySYJ3hN5mQ']
2025-04-12 23:20:44,,Additional Photo,['AeeoHcI-ZtX2H999HMb6jGuM7tGX5ncM0rY8cPn8F6COSnd2naLS44McdfZ1eyAAFQHd6stCqQGsOuHIQqaPVOIQ4BkLBpP9cjYzyqQEfKjaj8OfYgQ8Fpuyc6gnd3yGWScnQ0XyIBo6i1N5CYa9ELjm05aF8bbRb9tlRDL_6snDz72YuYYzWh8oiSX0fAOnyo5M2dTv0WzhNo80GZpFYqGao7PvzjPdpWqm85eOQtC4P_bNI5vM9Xr-A32EVIlx_jgBJQwuCB-3cbI9YSeEeyWI1Xc35sT6LrqLVNKZbKEnkpQFnvh9I4cdKi4hYLFsX2OsVYMYjUI4Wtd31YCNHMT3KBHghpmuitb4jtBDK7OZS31fo2Qw5TbeN460GYD-4cR2FmWXs0nFDFYUeiYiBhPys4I7BrEGWx45GERlCLvrb_4jJIMkhVYagK7kX4wMa5FxfgY43NGDmtHdDHo58gZ6XH8OT9-BkAY04d--SGM4qijR5o-ERbRTb4sB9uBzuD5jrOglVgqhYiyKUfvvpbObdqF-74yG0-1IuApIwFz-anKXSNo7FSNfypiNGbkSKdvFl0UdcPPVvsg2sXwrhK1pvM9YUZCl7gYQeDxOaAleMdr1rQVEMt9FMVtrlourx0lkuaYNMA']
2025-04-12 23:20:44,,Additional Photo,['AeeoHcI7RH8PIWUj57asLsi1GsOBkltW7uQSlgamFOABdcm-all2xAlwK-4Fdp-ULP73qzmabrd0eBSH6-XdORjQ1-WKZDlZp7-uW9_R4Aexl1i5M01YU4loOXaPkXKltsBx3LwtQvqfPUMIZLual-_bEHarZH_83uvMOOtY-8lNGmJDBer_F9KT6LaWmKc0qeOsQ7YRM_o5kc3_Y26mgNddec9LnXIj6xnKakNK1XzvShAPoTL9J2ejm9yvMRjlI9afNAlW9odPy8hMfz49HxSYatCPcmup0jabfmiCGGOlQULJLBFg-XK3EBWNWC1uI2YiGjyT-3qr_Y1iXXpnOOXQLcOl-ekn6tkICU2s54vhIq39sMRX-Jj5Ppy48nzzA3mYLSNguqRTExpHdwpN6pYQiqhmbHxi--uKKQt8ldJJU3hJaaEXo-BfLi2kLL4qJ523PmAYoIQB779ErEebhULnU41JGT_GMhx3GzFbXkGbVaSlRL5GcVo7HHGg0oz7DK05v2MHuakOh6bcsXK0qUiWW3a50MqQKcNPV8C-QftqM2d1ngLCXRmpG1p9LWv0yZO5MP1cyet0MlS_myCnrInHMYX8Rii2aNRZVhEjQvBdvBf0hPJ1LBLVwuDGS7xQe0mq4fNNeJo6']
2025-04-01 17:46:42,5.0,the tulip varieties here in the spring will take your breath away! but the garden is great all year round. unbelievable that it is free (just pay for parking). best to go on a week day though—it gets mobbed on weekends. lovely spot for an outdoor afternoon.,[]
2025-03-30 09:35:48,5.0,"We went during the Cherry Blossom Festival. It was beautiful, but the line for viewing the ally is as presented you get in a long line! One thing I didn't know, what a beautiful picnic spot it was! So many families brought lunch and blankets to sit and enjoy! They do have plenty of benches and seating as well. We had such a great time! As has been said parking is $2 and hour we did 3 hours and the seemed to be plenty!",[]
2025-03-26 17:46:52,4.0,"We enjoyed our wedding anniversary walk at Duke Gardens during Cherry Blossom season. Although some construction prevented us from walking through the main walkway, the view from a distance was still stunning. The weather was perfect, and while the gardens were quite crowded—almost like visiting an amusement park—everyone was courteous, and we had plenty of opportunities to capture the beautiful scenery. We’re grateful to have such a wonderful space close to home and look forward to visiting again soon!",[]
2025-03-24 18:30:23,5.0,I went on a weekday. The second day of Spring ‘25. It wasn’t crowded. The staff was friendly. Parking was easy even though they are doing construction right now.  Restrooms are clean. Big plus. It was a beautiful and peaceful experience. It doesn’t feel like you are on campus. It feels kinda story book. I hope to return in the fall. Overall great experience. Worth going to experience.,[]
2025-03-24 12:53:56,5.0,"This garden is a serene oasis, where nature’s beauty flourishes in every corner. The cherry blossoms in spring are a true highlight, their soft pink petals creating a magical atmosphere. With winding paths, tranquil fish pond and vibrant flowers, the garden offers a peaceful escape. Every detail, to the colourful blooms, is thoughtfully designed, making it a perfect place for relaxation and reflection. Whether you're drawn to the delicate cherry blossoms or simply the calm surroundings, this garden is a stunning beauty of nature.",[]
